2,50,12.5,98
0,13,3.25,28
1,16,4,35
2,20,5,45
1,24,6,77
4,4,1,4
2,7,1.75,14
1,12,3,35
2,9,2.25,22
5,46,11.5,98
4,23,5.75,58
0,3,0.75,4
2,10,2.5,28
1,13,3.25,47
2,6,1.5,15
2,5,1.25,11
2,14,3.5,48
2,15,3.75,49
2,6,1.5,15
2,3,0.75,4
2,3,0.75,4
4,11,2.75,28
2,6,1.5,16
2,6,1.5,16
9,9,2.25,16
4,14,3.5,40
4,6,1.5,14
4,12,3,34
4,5,1.25,11
4,8,2,21
1,14,3.5,58
4,10,2.5,28
4,10,2.5,28
4,9,2.25,26
2,16,4,64
2,8,2,28
2,12,3,47
4,6,1.5,16
2,14,3.5,57
4,7,1.75,22
2,13,3.25,53
2,5,1.25,16
2,5,1.25,16
2,5,1.25,16
4,20,5,69
4,9,2.25,28
2,9,2.25,36
2,2,0.5,2
2,2,0.5,2
2,2,0.5,2
2,11,2.75,46
2,11,2.75,46
2,6,1.5,22
2,12,3,52
4,5,1.25,14
4,19,4.75,69
4,8,2,26
2,7,1.75,28
2,16,4,81
3,6,1.5,21
2,7,1.75,29
2,8,2,35
2,10,2.5,49
4,5,1.25,16
2,3,0.75,9
3,16,4,74
2,4,1,14
0,2,0.5,4
4,7,1.75,25
1,9,2.25,51
2,4,1,16
2,4,1,16
4,17,4.25,71
2,2,0.5,4
2,2,0.5,4
2,2,0.5,4
2,4,1,16
2,2,0.5,4
2,2,0.5,4
2,2,0.5,4
4,6,1.5,23
2,4,1,16
2,4,1,16
2,4,1,16
2,6,1.5,28
2,6,1.5,28
4,2,0.5,4
4,2,0.5,4
4,2,0.5,4
2,7,1.75,35
4,2,0.5,4
4,2,0.5,4
4,2,0.5,4
4,2,0.5,4
12,11,2.75,23
4,7,1.75,28
3,17,4.25,86
4,9,2.25,38
4,4,1,14
5,7,1.75,26
4,8,2,34
2,13,3.25,76
4,9,2.25,40
2,5,1.25,26
2,5,1.25,26
6,17,4.25,70
0,8,2,59
3,5,1.25,26
2,3,0.75,14
2,10,2.5,64
4,5,1.25,23
4,9,2.25,46
4,5,1.25,23
4,8,2,40
2,12,3,82
11,24,6,64
2,7,1.75,46
4,11,2.75,61
1,7,1.75,57
2,11,2.75,79
2,3,0.75,16
4,5,1.25,26
2,6,1.5,41
2,5,1.25,33
2,4,1,26
2,5,1.25,34
4,8,2,46
2,4,1,26
4,8,2,48
2,2,0.5,10
4,5,1.25,28
2,12,3,95
2,2,0.5,10
4,6,1.5,35
2,11,2.75,88
2,3,0.75,19
2,5,1.25,37
2,12,3,98
9,5,1.25,19
2,2,0.5,11
2,9,2.25,74
5,14,3.5,86
4,3,0.75,16
4,3,0.75,16
4,2,0.5,9
4,3,0.75,16
6,3,0.75,14
2,2,0.5,11
2,2,0.5,11
2,2,0.5,11
2,7,1.75,58
4,6,1.5,39
4,11,2.75,78
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
2,1,0.25,2
