2.09,0.57
1.80,0.01
-0.23,0.57
-0.25,0.19
0.43,-0.41
1.92,0.47
0.87,0.51
0.03,0.95
-0.72,0.68
0.64,-0.66
-1.21,0.13
0.10,0.30
1.64,-0.61
0.13,0.67
0.06,-0.04
0.75,0.35
1.77,0.16
0.54,0.60
1.12,0.38
0.64,0.52
0.66,0.40
-0.90,0.20
-0.71,0.59
-0.35,0.98
1.73,-0.26
1.62,-0.27
1.25,0.05
1.09,0.68
1.02,-0.33
0.79,0.15
1.75,-0.35
0.93,-0.28
-0.03,-0.17
1.29,-0.75
-0.76,0.53
0.82,-0.54
1.82,0.40
-0.69,0.65
1.84,0.21
-0.05,0.96
0.23,1.26
1.78,0.62
0.38,-0.16
0.83,-0.13
-0.46,1.38
1.54,-0.26
1.72,-0.63
0.46,0.76
-0.44,0.90
0.34,-0.34
-0.21,0.71
-0.45,1.05
-0.24,0.74
-0.87,0.25
1.49,-0.16
0.38,-0.17
0.04,1.07
-0.21,1.00
2.32,0.45
-0.43,0.81
0.20,0.28
0.83,-0.05
0.66,0.96
0.64,0.82
-0.81,0.50
0.11,0.95
-0.36,1.12
0.31,0.50
-0.03,0.81
-0.19,0.15
1.04,-0.73
-0.44,1.21
1.08,-0.17
-0.09,1.11
1.76,0.22
-1.32,0.60
-0.61,0.42
1.33,-0.44
0.11,-0.12
0.43,-0.73
0.08,0.98
-1.12,0.48
-0.69,0.79
1.65,0.34
1.58,0.03
0.67,-0.43
0.34,1.17
0.10,0.36
-1.18,0.01
2.00,-0.35
-1.30,0.43
-0.99,0.07
1.91,0.17
-0.31,1.00
0.40,-0.43
-1.18,0.25
0.23,-0.17
1.03,0.45
-0.38,0.84
0.40,-0.30
1.45,-0.47
1.45,-0.36
0.42,0.42
2.08,-0.17
-0.62,1.14
0.24,0.10
0.62,-0.58
1.36,-0.18
1.76,0.24
0.21,1.28
0.82,0.68
0.10,-0.07
-1.04,0.34
-0.00,0.45
0.21,0.89
-0.91,0.65
0.14,0.33
-0.80,0.67
-0.91,-0.08
0.33,0.57
1.46,-0.77
1.43,-0.36
0.63,0.68
1.74,0.32
1.44,0.25
1.68,-0.37
-0.25,1.00
-0.31,0.91
1.97,-0.17
0.28,-0.05
-1.14,0.17
0.65,-0.24
0.08,0.05
0.93,-0.40
0.93,-0.57
0.04,-0.36
-0.34,0.80
0.93,-0.27
0.10,0.27
1.92,-0.23
0.81,0.47
-0.14,-0.27
-0.20,0.19
-0.00,0.71
-0.44,0.75
-0.92,0.62
-0.85,1.05
-0.80,0.40
0.91,0.29
1.03,0.60
0.11,1.03
1.24,0.46
-0.54,0.46
1.38,-0.41
1.91,0.09
1.67,0.44
-1.02,0.44
-0.68,0.80
1.73,-0.37
-1.05,-0.03
0.50,0.06
1.73,0.26
0.53,-0.34
1.72,-0.17
1.64,0.53
-0.53,0.68
-0.54,0.65
2.21,0.33
-0.81,0.68
-1.11,0.64
2.16,0.07
1.12,-0.74
0.77,1.00
1.23,-0.45
-0.96,0.23
0.84,-0.66
-0.37,0.77
0.40,-0.00
1.56,-0.26
0.52,0.66
1.25,-0.69
1.87,0.75
-0.89,-0.00
-0.30,0.88
2.05,0.25
1.83,0.02
0.82,-0.51
-1.05,0.46
1.14,-0.82
0.35,0.75
1.68,-0.15
1.53,-0.23
-0.62,0.51
0.81,0.23
1.23,-0.41
0.48,-0.28
0.94,-0.32
0.45,0.74
0.64,-0.20
0.75,1.17
0.52,-0.35
0.21,0.34
-0.28,0.54
1.69,0.55
1.80,-0.49
0.40,0.06
1.32,-0.44
0.04,0.35
0.01,0.52
1.93,0.13
0.76,0.65
0.16,-0.48
0.83,0.15
1.97,0.18
1.77,-0.19
1.59,0.61
0.42,1.28
0.81,1.15
0.85,0.03
-0.02,-0.16
1.40,-0.44
-0.02,0.13
1.91,0.20
-0.10,1.04
-0.79,0.67
-0.44,0.74
0.05,-0.06
-0.14,0.25
0.78,0.19
-0.53,0.04
-0.13,0.19
-0.26,0.87
0.07,-0.16
0.98,-0.71
0.45,0.25
0.64,0.19
0.66,-0.25
0.51,0.72
0.84,-0.34
0.08,0.92
0.29,0.49
-0.98,-0.02
0.50,1.34
-0.84,0.61
2.09,0.33
-0.92,0.52
-1.06,0.89
0.94,0.09
-0.62,-0.05
0.34,-0.37
0.19,0.87
0.20,-0.35
0.89,0.20
2.14,0.31
0.61,0.46
1.34,-1.00
0.37,0.09
-0.70,0.34
2.15,-0.31
1.32,0.19
2.14,0.17
0.92,-0.39
-0.80,0.52
0.97,0.87
1.70,-0.45
0.32,-0.02
1.14,-0.51
-1.34,-0.19
-0.98,1.29
-0.79,0.87
1.16,-0.37
-0.08,0.16
0.83,0.48
0.58,1.00
0.94,-0.28
1.71,-0.48
1.51,-0.61
-0.22,0.35
-1.15,0.28
0.25,0.70
2.00,0.54
-0.59,1.16
-0.57,0.73
1.40,-0.23
1.40,-0.26
0.96,0.38
1.78,-0.29
1.55,-0.38
0.52,0.96
0.03,1.22
0.23,-0.48
-0.06,0.98
0.91,-0.46
2.40,0.55
0.64,-0.47
0.35,0.87
1.90,0.44
1.82,0.28
-1.13,0.25
1.05,0.08
0.93,0.77
0.59,0.68
-1.22,0.18
-0.83,0.50
-0.96,0.36
-0.32,0.98
1.54,-0.65
2.10,-0.23
-0.72,0.87
1.32,0.03
1.90,0.17
1.74,0.34
-0.09,0.41
0.79,0.39
1.75,-0.30
-0.74,0.95
-0.86,0.56
0.01,1.04
0.81,0.08
1.14,0.45
0.43,0.72
-0.07,0.34
2.05,0.23
0.59,0.63
-0.23,1.05
1.02,0.59
0.87,0.53
-0.01,0.63
-0.07,0.70
1.09,-0.21
1.63,-0.45
1.30,-0.51
0.96,0.29
1.39,-0.63
1.14,0.23
-1.24,0.31
0.52,0.77
0.31,-0.56
-0.92,0.54
0.48,-0.89
1.60,0.09
-0.97,0.20
0.75,0.97
0.72,-0.21
0.62,0.49
-0.37,0.99
0.99,0.59
0.64,0.10
0.23,0.87
0.20,-0.05
0.42,0.83
0.08,-0.22
-0.17,0.88
1.78,0.07
1.57,-0.36
1.27,-0.73
-0.47,0.95
2.15,0.23
1.38,-0.47
-0.44,0.98
-0.69,0.52
0.67,-0.18
0.18,1.07
-0.76,0.79
-0.69,1.00
0.40,1.06
1.88,0.28
-0.38,0.48
-0.37,0.82
-0.41,1.20
1.99,-0.00
0.28,0.86
0.37,1.02
2.03,0.30
0.72,0.73
-0.08,1.10
0.90,-0.55
0.65,-0.47
-0.45,1.01
1.00,0.52
0.00,0.18
-0.44,1.06
0.42,0.97
1.91,-0.17
0.57,0.15
1.74,0.01
-0.10,-0.40
-0.88,0.01
1.37,-0.01
0.88,-0.64
1.06,-0.61
-0.11,0.93
0.04,0.80
-0.19,0.13
1.33,0.30
0.94,0.55
0.66,0.81
-0.61,1.05
1.21,-0.03
-1.03,-0.03
0.54,-0.14
0.45,0.88
0.53,-0.60
-0.61,0.70
0.28,-0.19
0.13,-0.34
0.45,0.44
-1.31,0.16
0.31,-0.31
1.22,-0.34
1.62,-0.26
-0.59,0.48
0.17,-0.10
1.58,0.75
-0.33,0.93
0.18,0.52
0.85,0.80
0.04,0.88
0.19,0.74
0.55,0.70
0.74,-0.18
1.65,-0.60
-0.75,0.62
0.66,-0.87
-1.38,0.48
0.47,-0.10
1.44,-0.23
0.65,1.12
-0.87,0.31
0.29,-0.08
2.05,0.48
0.85,0.44
1.36,0.23
2.13,0.04
0.41,0.79
-0.12,1.08
0.33,0.87
0.36,0.71
1.07,-0.49
0.09,-0.29
0.56,-0.58
0.39,1.13
2.07,0.13
-0.86,0.67
0.71,0.62
0.67,-0.81
0.87,-0.42
0.05,0.78
-0.01,0.92
0.39,-0.38
