1.31,5.25,0.55
-0.00,-1.21,1.53
-0.27,-2.81,1.87
1.09,-0.23,3.92
0.20,-1.14,3.02
2.28,-0.27,1.77
2.49,-0.96,2.80
0.29,3.85,2.07
0.32,-3.22,3.65
1.58,5.20,1.92
1.07,-3.18,3.98
0.61,0.17,2.35
0.90,-1.15,3.33
2.12,-0.86,3.74
0.50,3.78,3.08
1.94,4.53,1.51
-0.11,-2.35,1.37
0.93,3.79,1.08
0.15,2.81,3.55
0.77,5.18,0.36
1.08,-1.87,2.94
0.24,-2.99,3.09
0.55,-2.05,2.61
0.24,-3.10,2.58
0.61,-0.71,2.92
1.63,-1.87,2.99
2.01,3.31,0.84
1.29,5.13,2.06
0.67,5.33,1.98
-0.12,-2.38,4.18
1.43,5.27,2.83
-0.11,-3.67,4.71
2.71,2.86,0.47
-0.18,5.08,3.55
1.76,-2.34,3.79
1.63,-4.11,1.98
-0.36,2.96,2.75
1.47,-2.39,2.41
2.02,4.47,2.94
0.19,5.40,2.29
1.45,5.23,1.88
0.65,3.59,1.67
0.27,-2.26,3.47
2.00,-1.65,3.73
1.29,3.45,-0.50
0.39,3.41,2.60
-0.05,-1.99,2.74
2.46,6.20,3.23
0.37,-2.48,3.08
1.60,-1.83,1.82
-0.12,-2.68,2.08
-0.34,4.84,1.97
1.70,2.48,2.36
0.89,-0.18,3.42
3.14,5.64,1.69
0.92,-1.64,3.66
0.34,4.47,2.15
0.09,5.24,1.53
1.11,0.02,2.86
-0.05,-0.96,4.46
1.21,2.90,1.47
1.00,4.29,2.07
1.02,5.13,2.59
1.73,-2.05,3.70
0.09,5.24,3.47
0.50,5.24,2.86
0.69,2.31,0.91
2.49,-2.17,1.78
-0.50,5.95,2.22
2.14,-2.74,2.04
-0.45,6.30,1.20
2.32,-2.49,3.60
-0.13,4.20,2.07
-0.08,-1.29,2.31
1.35,-2.06,2.81
1.25,3.84,0.64
0.93,-1.56,4.19
1.04,4.46,2.29
0.81,5.07,2.39
1.23,-3.96,4.03
3.10,-2.52,1.92
1.85,-0.97,1.85
0.08,4.38,0.98
2.65,4.25,2.05
0.47,-0.45,2.69
0.45,4.48,2.62
1.01,-2.20,1.55
1.42,4.48,1.26
0.96,-3.13,1.95
0.08,-0.71,3.06
1.38,6.19,0.71
3.23,3.60,3.00
1.51,-3.12,2.92
1.33,5.12,2.11
1.78,4.38,1.66
0.48,-1.98,1.93
0.44,-0.63,2.44
-0.73,6.25,1.55
1.81,-1.56,2.80
0.38,5.86,2.34
1.88,4.77,0.52
0.68,3.99,0.38
0.62,4.86,2.95
0.28,0.21,1.82
-0.64,4.09,1.16
1.44,-1.67,2.72
1.19,-2.63,1.52
1.71,-0.98,1.82
-0.66,-0.52,2.87
1.77,-1.27,5.20
-0.04,-1.56,2.99
-0.47,-2.29,4.20
1.09,-0.39,2.36
1.63,-3.38,3.30
1.47,5.35,2.34
0.01,5.14,2.54
0.17,-2.30,1.43
1.76,-2.12,2.65
0.93,3.55,2.01
1.12,3.33,2.93
1.42,-1.03,2.25
2.22,-2.82,2.40
-0.36,-1.01,4.01
1.28,-1.32,4.08
-1.42,-2.37,1.37
1.15,-2.55,2.26
2.49,4.86,2.01
1.82,-2.62,1.82
0.29,3.43,1.48
1.61,-1.10,-0.20
0.57,-1.08,2.03
-0.07,3.45,2.73
-0.03,5.99,1.26
0.44,4.67,3.35
1.89,-1.68,3.01
-0.75,4.48,1.65
-0.09,-2.43,3.72
0.11,-1.53,2.76
0.39,-3.55,2.00
2.24,4.52,1.35
1.55,-1.09,2.71
1.78,3.99,1.82
0.63,2.95,1.02
-0.61,6.55,0.63
2.05,1.74,3.24
1.03,-1.67,1.61
1.67,5.61,1.43
1.17,5.18,1.60
1.10,0.46,4.04
-0.11,-2.20,2.50
